§1\n\n_\nEs wäre kein ewiger Weg.\nKönnten wir nennen den Namen,\nEs wäre kein ewiger Name.\n	Könnten wir weisen den *Weg*,
§48\n\n_\nAls säßen sie zechend beim Opferfest,\nAls stiegen sie auf zu den Frühlingsterassen.\nIch allein liege noch still,\nKein Zeichen hab ich gegeben,\nGleich einem kleinen Kinde,\nDas noch nie gelacht hat im Leben;\nBin schwankend, bin wankend,\nAls hätt ich die Heimat verloren.\nDie Menge der Menschen hat Überfluß;\nNur Ich bin gleichsam von allem entblößt.\nWahrlich, Ich habe das Herz eines Toren,\nSo dunkel und wirr!\nDie gewöhnlichen Menschen sind hell und klar;\nNur Ich bin trübe verhangen.\nDie gewöhnlichen Menschen sind strebig-straff;\nNur Ich bin bang-befangen.\nRuhelos gleich ich dem Meere;\nVerweht, ach, bin gleichsam ich ohne Halt.\nDie Menschen mach sich nützlich all,\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\nNur Ich bin von den andern Menschen verschieden –\nDer ich die nährende Mutter verehre.\n	Die Menschen alle sind ausgelassen,
§48\n\nDie Menschen alle sind ausgelassen,\n_\nAls stiegen sie auf zu den Frühlingsterassen.\nIch allein liege noch still,\nKein Zeichen hab ich gegeben,\nGleich einem kleinen Kinde,\nDas noch nie gelacht hat im Leben;\nBin schwankend, bin wankend,\nAls hätt ich die Heimat verloren.\nDie Menge der Menschen hat Überfluß;\nNur Ich bin gleichsam von allem entblößt.\nWahrlich, Ich habe das Herz eines Toren,\nSo dunkel und wirr!\nDie gewöhnlichen Menschen sind hell und klar;\nNur Ich bin trübe verhangen.\nDie gewöhnlichen Menschen sind strebig-straff;\nNur Ich bin bang-befangen.\nRuhelos gleich ich dem Meere;\nVerweht, ach, bin gleichsam ich ohne Halt.\nDie Menschen mach sich nützlich all,\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\nNur Ich bin von den andern Menschen verschieden –\nDer ich die nährende Mutter verehre.\n	Als säßen sie zechend beim Opferfest,
§48\n\nDie Menschen alle sind ausgelassen,\nAls säßen sie zechend beim Opferfest,\n_\nIch allein liege noch still,\nKein Zeichen hab ich gegeben,\nGleich einem kleinen Kinde,\nDas noch nie gelacht hat im Leben;\nBin schwankend, bin wankend,\nAls hätt ich die Heimat verloren.\nDie Menge der Menschen hat Überfluß;\nNur Ich bin gleichsam von allem entblößt.\nWahrlich, Ich habe das Herz eines Toren,\nSo dunkel und wirr!\nDie gewöhnlichen Menschen sind hell und klar;\nNur Ich bin trübe verhangen.\nDie gewöhnlichen Menschen sind strebig-straff;\nNur Ich bin bang-befangen.\nRuhelos gleich ich dem Meere;\nVerweht, ach, bin gleichsam ich ohne Halt.\nDie Menschen mach sich nützlich all,\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\nNur Ich bin von den andern Menschen verschieden –\nDer ich die nährende Mutter verehre.\n	Als stiegen sie auf zu den Frühlingsterassen.
§48\n\nDie Menschen alle sind ausgelassen,\nAls säßen sie zechend beim Opferfest,\nAls stiegen sie auf zu den Frühlingsterassen.\n_\nKein Zeichen hab ich gegeben,\nGleich einem kleinen Kinde,\nDas noch nie gelacht hat im Leben;\nBin schwankend, bin wankend,\nAls hätt ich die Heimat verloren.\nDie Menge der Menschen hat Überfluß;\nNur Ich bin gleichsam von allem entblößt.\nWahrlich, Ich habe das Herz eines Toren,\nSo dunkel und wirr!\nDie gewöhnlichen Menschen sind hell und klar;\nNur Ich bin trübe verhangen.\nDie gewöhnlichen Menschen sind strebig-straff;\nNur Ich bin bang-befangen.\nRuhelos gleich ich dem Meere;\nVerweht, ach, bin gleichsam ich ohne Halt.\nDie Menschen mach sich nützlich all,\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\nNur Ich bin von den andern Menschen verschieden –\nDer ich die nährende Mutter verehre.\n	Ich allein liege noch still,
§48\n\nDie Menschen alle sind ausgelassen,\nAls säßen sie zechend beim Opferfest,\nAls stiegen sie auf zu den Frühlingsterassen.\nIch allein liege noch still,\n_\nGleich einem kleinen Kinde,\nDas noch nie gelacht hat im Leben;\nBin schwankend, bin wankend,\nAls hätt ich die Heimat verloren.\nDie Menge der Menschen hat Überfluß;\nNur Ich bin gleichsam von allem entblößt.\nWahrlich, Ich habe das Herz eines Toren,\nSo dunkel und wirr!\nDie gewöhnlichen Menschen sind hell und klar;\nNur Ich bin trübe verhangen.\nDie gewöhnlichen Menschen sind strebig-straff;\nNur Ich bin bang-befangen.\nRuhelos gleich ich dem Meere;\nVerweht, ach, bin gleichsam ich ohne Halt.\nDie Menschen mach sich nützlich all,\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\nNur Ich bin von den andern Menschen verschieden –\nDer ich die nährende Mutter verehre.\n	Kein Zeichen hab ich gegeben,
§48\n\nDie Menschen alle sind ausgelassen,\nAls säßen sie zechend beim Opferfest,\nAls stiegen sie auf zu den Frühlingsterassen.\nIch allein liege noch still,\nKein Zeichen hab ich gegeben,\n_\nDas noch nie gelacht hat im Leben;\nBin schwankend, bin wankend,\nAls hätt ich die Heimat verloren.\nDie Menge der Menschen hat Überfluß;\nNur Ich bin gleichsam von allem entblößt.\nWahrlich, Ich habe das Herz eines Toren,\nSo dunkel und wirr!\nDie gewöhnlichen Menschen sind hell und klar;\nNur Ich bin trübe verhangen.\nDie gewöhnlichen Menschen sind strebig-straff;\nNur Ich bin bang-befangen.\nRuhelos gleich ich dem Meere;\nVerweht, ach, bin gleichsam ich ohne Halt.\nDie Menschen mach sich nützlich all,\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\nNur Ich bin von den andern Menschen verschieden –\nDer ich die nährende Mutter verehre.\n	Gleich einem kleinen Kinde,
§48\n\nDie Menschen alle sind ausgelassen,\nAls säßen sie zechend beim Opferfest,\nAls stiegen sie auf zu den Frühlingsterassen.\nIch allein liege noch still,\nKein Zeichen hab ich gegeben,\nGleich einem kleinen Kinde,\n_\nBin schwankend, bin wankend,\nAls hätt ich die Heimat verloren.\nDie Menge der Menschen hat Überfluß;\nNur Ich bin gleichsam von allem entblößt.\nWahrlich, Ich habe das Herz eines Toren,\nSo dunkel und wirr!\nDie gewöhnlichen Menschen sind hell und klar;\nNur Ich bin trübe verhangen.\nDie gewöhnlichen Menschen sind strebig-straff;\nNur Ich bin bang-befangen.\nRuhelos gleich ich dem Meere;\nVerweht, ach, bin gleichsam ich ohne Halt.\nDie Menschen mach sich nützlich all,\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\nNur Ich bin von den andern Menschen verschieden –\nDer ich die nährende Mutter verehre.\n	Das noch nie gelacht hat im Leben;
§48\n\nDie Menschen alle sind ausgelassen,\nAls säßen sie zechend beim Opferfest,\nAls stiegen sie auf zu den Frühlingsterassen.\nIch allein liege noch still,\nKein Zeichen hab ich gegeben,\nGleich einem kleinen Kinde,\nDas noch nie gelacht hat im Leben;\n_\nAls hätt ich die Heimat verloren.\nDie Menge der Menschen hat Überfluß;\nNur Ich bin gleichsam von allem entblößt.\nWahrlich, Ich habe das Herz eines Toren,\nSo dunkel und wirr!\nDie gewöhnlichen Menschen sind hell und klar;\nNur Ich bin trübe verhangen.\nDie gewöhnlichen Menschen sind strebig-straff;\nNur Ich bin bang-befangen.\nRuhelos gleich ich dem Meere;\nVerweht, ach, bin gleichsam ich ohne Halt.\nDie Menschen mach sich nützlich all,\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\nNur Ich bin von den andern Menschen verschieden –\nDer ich die nährende Mutter verehre.\n	Bin schwankend, bin wankend,
§48\n\nDie Menschen alle sind ausgelassen,\nAls säßen sie zechend beim Opferfest,\nAls stiegen sie auf zu den Frühlingsterassen.\nIch allein liege noch still,\nKein Zeichen hab ich gegeben,\nGleich einem kleinen Kinde,\nDas noch nie gelacht hat im Leben;\nBin schwankend, bin wankend,\n_\nDie Menge der Menschen hat Überfluß;\nNur Ich bin gleichsam von allem entblößt.\nWahrlich, Ich habe das Herz eines Toren,\nSo dunkel und wirr!\nDie gewöhnlichen Menschen sind hell und klar;\nNur Ich bin trübe verhangen.\nDie gewöhnlichen Menschen sind strebig-straff;\nNur Ich bin bang-befangen.\nRuhelos gleich ich dem Meere;\nVerweht, ach, bin gleichsam ich ohne Halt.\nDie Menschen mach sich nützlich all,\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\nNur Ich bin von den andern Menschen verschieden –\nDer ich die nährende Mutter verehre.\n	Als hätt ich die Heimat verloren.
§48\n\nDie Menschen alle sind ausgelassen,\nAls säßen sie zechend beim Opferfest,\nAls stiegen sie auf zu den Frühlingsterassen.\nIch allein liege noch still,\nKein Zeichen hab ich gegeben,\nGleich einem kleinen Kinde,\nDas noch nie gelacht hat im Leben;\nBin schwankend, bin wankend,\nAls hätt ich die Heimat verloren.\n_\nNur Ich bin gleichsam von allem entblößt.\nWahrlich, Ich habe das Herz eines Toren,\nSo dunkel und wirr!\nDie gewöhnlichen Menschen sind hell und klar;\nNur Ich bin trübe verhangen.\nDie gewöhnlichen Menschen sind strebig-straff;\nNur Ich bin bang-befangen.\nRuhelos gleich ich dem Meere;\nVerweht, ach, bin gleichsam ich ohne Halt.\nDie Menschen mach sich nützlich all,\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\nNur Ich bin von den andern Menschen verschieden –\nDer ich die nährende Mutter verehre.\n	Die Menge der Menschen hat Überfluß;
§48\n\nDie Menschen alle sind ausgelassen,\nAls säßen sie zechend beim Opferfest,\nAls stiegen sie auf zu den Frühlingsterassen.\nIch allein liege noch still,\nKein Zeichen hab ich gegeben,\nGleich einem kleinen Kinde,\nDas noch nie gelacht hat im Leben;\nBin schwankend, bin wankend,\nAls hätt ich die Heimat verloren.\nDie Menge der Menschen hat Überfluß;\n_\nWahrlich, Ich habe das Herz eines Toren,\nSo dunkel und wirr!\nDie gewöhnlichen Menschen sind hell und klar;\nNur Ich bin trübe verhangen.\nDie gewöhnlichen Menschen sind strebig-straff;\nNur Ich bin bang-befangen.\nRuhelos gleich ich dem Meere;\nVerweht, ach, bin gleichsam ich ohne Halt.\nDie Menschen mach sich nützlich all,\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\nNur Ich bin von den andern Menschen verschieden –\nDer ich die nährende Mutter verehre.\n	Nur Ich bin gleichsam von allem entblößt.
§48\n\nDie Menschen alle sind ausgelassen,\nAls säßen sie zechend beim Opferfest,\nAls stiegen sie auf zu den Frühlingsterassen.\nIch allein liege noch still,\nKein Zeichen hab ich gegeben,\nGleich einem kleinen Kinde,\nDas noch nie gelacht hat im Leben;\nBin schwankend, bin wankend,\nAls hätt ich die Heimat verloren.\nDie Menge der Menschen hat Überfluß;\nNur Ich bin gleichsam von allem entblößt.\n_\nSo dunkel und wirr!\nDie gewöhnlichen Menschen sind hell und klar;\nNur Ich bin trübe verhangen.\nDie gewöhnlichen Menschen sind strebig-straff;\nNur Ich bin bang-befangen.\nRuhelos gleich ich dem Meere;\nVerweht, ach, bin gleichsam ich ohne Halt.\nDie Menschen mach sich nützlich all,\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\nNur Ich bin von den andern Menschen verschieden –\nDer ich die nährende Mutter verehre.\n	Wahrlich, Ich habe das Herz eines Toren,
§48\n\nDie Menschen alle sind ausgelassen,\nAls säßen sie zechend beim Opferfest,\nAls stiegen sie auf zu den Frühlingsterassen.\nIch allein liege noch still,\nKein Zeichen hab ich gegeben,\nGleich einem kleinen Kinde,\nDas noch nie gelacht hat im Leben;\nBin schwankend, bin wankend,\nAls hätt ich die Heimat verloren.\nDie Menge der Menschen hat Überfluß;\nNur Ich bin gleichsam von allem entblößt.\nWahrlich, Ich habe das Herz eines Toren,\n_\nDie gewöhnlichen Menschen sind hell und klar;\nNur Ich bin trübe verhangen.\nDie gewöhnlichen Menschen sind strebig-straff;\nNur Ich bin bang-befangen.\nRuhelos gleich ich dem Meere;\nVerweht, ach, bin gleichsam ich ohne Halt.\nDie Menschen mach sich nützlich all,\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\nNur Ich bin von den andern Menschen verschieden –\nDer ich die nährende Mutter verehre.\n	So dunkel und wirr!
§48\n\nDie Menschen alle sind ausgelassen,\nAls säßen sie zechend beim Opferfest,\nAls stiegen sie auf zu den Frühlingsterassen.\nIch allein liege noch still,\nKein Zeichen hab ich gegeben,\nGleich einem kleinen Kinde,\nDas noch nie gelacht hat im Leben;\nBin schwankend, bin wankend,\nAls hätt ich die Heimat verloren.\nDie Menge der Menschen hat Überfluß;\nNur Ich bin gleichsam von allem entblößt.\nWahrlich, Ich habe das Herz eines Toren,\nSo dunkel und wirr!\n_\nNur Ich bin trübe verhangen.\nDie gewöhnlichen Menschen sind strebig-straff;\nNur Ich bin bang-befangen.\nRuhelos gleich ich dem Meere;\nVerweht, ach, bin gleichsam ich ohne Halt.\nDie Menschen mach sich nützlich all,\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\nNur Ich bin von den andern Menschen verschieden –\nDer ich die nährende Mutter verehre.\n	Die gewöhnlichen Menschen sind hell und klar;
§48\n\nDie Menschen alle sind ausgelassen,\nAls säßen sie zechend beim Opferfest,\nAls stiegen sie auf zu den Frühlingsterassen.\nIch allein liege noch still,\nKein Zeichen hab ich gegeben,\nGleich einem kleinen Kinde,\nDas noch nie gelacht hat im Leben;\nBin schwankend, bin wankend,\nAls hätt ich die Heimat verloren.\nDie Menge der Menschen hat Überfluß;\nNur Ich bin gleichsam von allem entblößt.\nWahrlich, Ich habe das Herz eines Toren,\nSo dunkel und wirr!\nDie gewöhnlichen Menschen sind hell und klar;\n_\nDie gewöhnlichen Menschen sind strebig-straff;\nNur Ich bin bang-befangen.\nRuhelos gleich ich dem Meere;\nVerweht, ach, bin gleichsam ich ohne Halt.\nDie Menschen mach sich nützlich all,\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\nNur Ich bin von den andern Menschen verschieden –\nDer ich die nährende Mutter verehre.\n	Nur Ich bin trübe verhangen.
§48\n\nDie Menschen alle sind ausgelassen,\nAls säßen sie zechend beim Opferfest,\nAls stiegen sie auf zu den Frühlingsterassen.\nIch allein liege noch still,\nKein Zeichen hab ich gegeben,\nGleich einem kleinen Kinde,\nDas noch nie gelacht hat im Leben;\nBin schwankend, bin wankend,\nAls hätt ich die Heimat verloren.\nDie Menge der Menschen hat Überfluß;\nNur Ich bin gleichsam von allem entblößt.\nWahrlich, Ich habe das Herz eines Toren,\nSo dunkel und wirr!\nDie gewöhnlichen Menschen sind hell und klar;\nNur Ich bin trübe verhangen.\n_\nNur Ich bin bang-befangen.\nRuhelos gleich ich dem Meere;\nVerweht, ach, bin gleichsam ich ohne Halt.\nDie Menschen mach sich nützlich all,\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\nNur Ich bin von den andern Menschen verschieden –\nDer ich die nährende Mutter verehre.\n	Die gewöhnlichen Menschen sind strebig-straff;
§48\n\nDie Menschen alle sind ausgelassen,\nAls säßen sie zechend beim Opferfest,\nAls stiegen sie auf zu den Frühlingsterassen.\nIch allein liege noch still,\nKein Zeichen hab ich gegeben,\nGleich einem kleinen Kinde,\nDas noch nie gelacht hat im Leben;\nBin schwankend, bin wankend,\nAls hätt ich die Heimat verloren.\nDie Menge der Menschen hat Überfluß;\nNur Ich bin gleichsam von allem entblößt.\nWahrlich, Ich habe das Herz eines Toren,\nSo dunkel und wirr!\nDie gewöhnlichen Menschen sind hell und klar;\nNur Ich bin trübe verhangen.\nDie gewöhnlichen Menschen sind strebig-straff;\n_\nRuhelos gleich ich dem Meere;\nVerweht, ach, bin gleichsam ich ohne Halt.\nDie Menschen mach sich nützlich all,\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\nNur Ich bin von den andern Menschen verschieden –\nDer ich die nährende Mutter verehre.\n	Nur Ich bin bang-befangen.
§48\n\nDie Menschen alle sind ausgelassen,\nAls säßen sie zechend beim Opferfest,\nAls stiegen sie auf zu den Frühlingsterassen.\nIch allein liege noch still,\nKein Zeichen hab ich gegeben,\nGleich einem kleinen Kinde,\nDas noch nie gelacht hat im Leben;\nBin schwankend, bin wankend,\nAls hätt ich die Heimat verloren.\nDie Menge der Menschen hat Überfluß;\nNur Ich bin gleichsam von allem entblößt.\nWahrlich, Ich habe das Herz eines Toren,\nSo dunkel und wirr!\nDie gewöhnlichen Menschen sind hell und klar;\nNur Ich bin trübe verhangen.\nDie gewöhnlichen Menschen sind strebig-straff;\nNur Ich bin bang-befangen.\n_\nVerweht, ach, bin gleichsam ich ohne Halt.\nDie Menschen mach sich nützlich all,\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\nNur Ich bin von den andern Menschen verschieden –\nDer ich die nährende Mutter verehre.\n	Ruhelos gleich ich dem Meere;
§48\n\nDie Menschen alle sind ausgelassen,\nAls säßen sie zechend beim Opferfest,\nAls stiegen sie auf zu den Frühlingsterassen.\nIch allein liege noch still,\nKein Zeichen hab ich gegeben,\nGleich einem kleinen Kinde,\nDas noch nie gelacht hat im Leben;\nBin schwankend, bin wankend,\nAls hätt ich die Heimat verloren.\nDie Menge der Menschen hat Überfluß;\nNur Ich bin gleichsam von allem entblößt.\nWahrlich, Ich habe das Herz eines Toren,\nSo dunkel und wirr!\nDie gewöhnlichen Menschen sind hell und klar;\nNur Ich bin trübe verhangen.\nDie gewöhnlichen Menschen sind strebig-straff;\nNur Ich bin bang-befangen.\nRuhelos gleich ich dem Meere;\n_\nDie Menschen mach sich nützlich all,\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\nNur Ich bin von den andern Menschen verschieden –\nDer ich die nährende Mutter verehre.\n	Verweht, ach, bin gleichsam ich ohne Halt.
§48\n\nDie Menschen alle sind ausgelassen,\nAls säßen sie zechend beim Opferfest,\nAls stiegen sie auf zu den Frühlingsterassen.\nIch allein liege noch still,\nKein Zeichen hab ich gegeben,\nGleich einem kleinen Kinde,\nDas noch nie gelacht hat im Leben;\nBin schwankend, bin wankend,\nAls hätt ich die Heimat verloren.\nDie Menge der Menschen hat Überfluß;\nNur Ich bin gleichsam von allem entblößt.\nWahrlich, Ich habe das Herz eines Toren,\nSo dunkel und wirr!\nDie gewöhnlichen Menschen sind hell und klar;\nNur Ich bin trübe verhangen.\nDie gewöhnlichen Menschen sind strebig-straff;\nNur Ich bin bang-befangen.\nRuhelos gleich ich dem Meere;\nVerweht, ach, bin gleichsam ich ohne Halt.\n_\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\nNur Ich bin von den andern Menschen verschieden –\nDer ich die nährende Mutter verehre.\n	Die Menschen mach sich nützlich all,
§48\n\nDie Menschen alle sind ausgelassen,\nAls säßen sie zechend beim Opferfest,\nAls stiegen sie auf zu den Frühlingsterassen.\nIch allein liege noch still,\nKein Zeichen hab ich gegeben,\nGleich einem kleinen Kinde,\nDas noch nie gelacht hat im Leben;\nBin schwankend, bin wankend,\nAls hätt ich die Heimat verloren.\nDie Menge der Menschen hat Überfluß;\nNur Ich bin gleichsam von allem entblößt.\nWahrlich, Ich habe das Herz eines Toren,\nSo dunkel und wirr!\nDie gewöhnlichen Menschen sind hell und klar;\nNur Ich bin trübe verhangen.\nDie gewöhnlichen Menschen sind strebig-straff;\nNur Ich bin bang-befangen.\nRuhelos gleich ich dem Meere;\nVerweht, ach, bin gleichsam ich ohne Halt.\nDie Menschen mach sich nützlich all,\n_\nNur Ich bin von den andern Menschen verschieden –\nDer ich die nährende Mutter verehre.\n	Nur Ich bin halsstarr, als ob ich ein Wildling wäre.
§48\n\nDie Menschen alle sind ausgelassen,\nAls säßen sie zechend beim Opferfest,\nAls stiegen sie auf zu den Frühlingsterassen.\nIch allein liege noch still,\nKein Zeichen hab ich gegeben,\nGleich einem kleinen Kinde,\nDas noch nie gelacht hat im Leben;\nBin schwankend, bin wankend,\nAls hätt ich die Heimat verloren.\nDie Menge der Menschen hat Überfluß;\nNur Ich bin gleichsam von allem entblößt.\nWahrlich, Ich habe das Herz eines Toren,\nSo dunkel und wirr!\nDie gewöhnlichen Menschen sind hell und klar;\nNur Ich bin trübe verhangen.\nDie gewöhnlichen Menschen sind strebig-straff;\nNur Ich bin bang-befangen.\nRuhelos gleich ich dem Meere;\nVerweht, ach, bin gleichsam ich ohne Halt.\nDie Menschen mach sich nützlich all,\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\n_\nDer ich die nährende Mutter verehre.\n	Nur Ich bin von den andern Menschen verschieden –
§48\n\nDie Menschen alle sind ausgelassen,\nAls säßen sie zechend beim Opferfest,\nAls stiegen sie auf zu den Frühlingsterassen.\nIch allein liege noch still,\nKein Zeichen hab ich gegeben,\nGleich einem kleinen Kinde,\nDas noch nie gelacht hat im Leben;\nBin schwankend, bin wankend,\nAls hätt ich die Heimat verloren.\nDie Menge der Menschen hat Überfluß;\nNur Ich bin gleichsam von allem entblößt.\nWahrlich, Ich habe das Herz eines Toren,\nSo dunkel und wirr!\nDie gewöhnlichen Menschen sind hell und klar;\nNur Ich bin trübe verhangen.\nDie gewöhnlichen Menschen sind strebig-straff;\nNur Ich bin bang-befangen.\nRuhelos gleich ich dem Meere;\nVerweht, ach, bin gleichsam ich ohne Halt.\nDie Menschen mach sich nützlich all,\nNur Ich bin halsstarr, als ob ich ein Wildling wäre.\nNur Ich bin von den andern Menschen verschieden –\n_\n	Der ich die nährende Mutter verehre.
§49\n\n_\nEs folgt allein dem *Wege*.\nDer *Weg* als ein Wesen\nIst ein Brauen, ein Glosen.\nO Glosen, o Brauen!\nDarin sind die Bilder.\nO Brauen, o Glosen!\nDarin sind die Wesen.\nO Dunkel, versunken!\nDarin sind die Samen.\nDie Samen sind Wahrheit;\nDarin ist die Treulichkeit.\nVon alters bis heute\nWard sein Name nicht aufgehoben,\nUm damit den Vater von allen Dingen zu deuten.\nUnd woher kenn Ich das Walten\nDes Vaters von allen Dingen?\nDurch dieses.\n	Der tiefsten Tugend Gebaren,
§49\n\nDer tiefsten Tugend Gebaren,\n_\nDer *Weg* als ein Wesen\nIst ein Brauen, ein Glosen.\nO Glosen, o Brauen!\nDarin sind die Bilder.\nO Brauen, o Glosen!\nDarin sind die Wesen.\nO Dunkel, versunken!\nDarin sind die Samen.\nDie Samen sind Wahrheit;\nDarin ist die Treulichkeit.\nVon alters bis heute\nWard sein Name nicht aufgehoben,\nUm damit den Vater von allen Dingen zu deuten.\nUnd woher kenn Ich das Walten\nDes Vaters von allen Dingen?\nDurch dieses.\n	Es folgt allein dem *Wege*.
§49\n\nDer tiefsten Tugend Gebaren,\nEs folgt allein dem *Wege*.\n_\nIst ein Brauen, ein Glosen.\nO Glosen, o Brauen!\nDarin sind die Bilder.\nO Brauen, o Glosen!\nDarin sind die Wesen.\nO Dunkel, versunken!\nDarin sind die Samen.\nDie Samen sind Wahrheit;\nDarin ist die Treulichkeit.\nVon alters bis heute\nWard sein Name nicht aufgehoben,\nUm damit den Vater von allen Dingen zu deuten.\nUnd woher kenn Ich das Walten\nDes Vaters von allen Dingen?\nDurch dieses.\n	Der *Weg* als ein Wesen
§49\n\nDer tiefsten Tugend Gebaren,\nEs folgt allein dem *Wege*.\nDer *Weg* als ein Wesen\n_\nO Glosen, o Brauen!\nDarin sind die Bilder.\nO Brauen, o Glosen!\nDarin sind die Wesen.\nO Dunkel, versunken!\nDarin sind die Samen.\nDie Samen sind Wahrheit;\nDarin ist die Treulichkeit.\nVon alters bis heute\nWard sein Name nicht aufgehoben,\nUm damit den Vater von allen Dingen zu deuten.\nUnd woher kenn Ich das Walten\nDes Vaters von allen Dingen?\nDurch dieses.\n	Ist ein Brauen, ein Glosen.
§49\n\nDer tiefsten Tugend Gebaren,\nEs folgt allein dem *Wege*.\nDer *Weg* als ein Wesen\nIst ein Brauen, ein Glosen.\n_\nDarin sind die Bilder.\nO Brauen, o Glosen!\nDarin sind die Wesen.\nO Dunkel, versunken!\nDarin sind die Samen.\nDie Samen sind Wahrheit;\nDarin ist die Treulichkeit.\nVon alters bis heute\nWard sein Name nicht aufgehoben,\nUm damit den Vater von allen Dingen zu deuten.\nUnd woher kenn Ich das Walten\nDes Vaters von allen Dingen?\nDurch dieses.\n	O Glosen, o Brauen!
§49\n\nDer tiefsten Tugend Gebaren,\nEs folgt allein dem *Wege*.\nDer *Weg* als ein Wesen\nIst ein Brauen, ein Glosen.\nO Glosen, o Brauen!\n_\nO Brauen, o Glosen!\nDarin sind die Wesen.\nO Dunkel, versunken!\nDarin sind die Samen.\nDie Samen sind Wahrheit;\nDarin ist die Treulichkeit.\nVon alters bis heute\nWard sein Name nicht aufgehoben,\nUm damit den Vater von allen Dingen zu deuten.\nUnd woher kenn Ich das Walten\nDes Vaters von allen Dingen?\nDurch dieses.\n	Darin sind die Bilder.
§49\n\nDer tiefsten Tugend Gebaren,\nEs folgt allein dem *Wege*.\nDer *Weg* als ein Wesen\nIst ein Brauen, ein Glosen.\nO Glosen, o Brauen!\nDarin sind die Bilder.\n_\nDarin sind die Wesen.\nO Dunkel, versunken!\nDarin sind die Samen.\nDie Samen sind Wahrheit;\nDarin ist die Treulichkeit.\nVon alters bis heute\nWard sein Name nicht aufgehoben,\nUm damit den Vater von allen Dingen zu deuten.\nUnd woher kenn Ich das Walten\nDes Vaters von allen Dingen?\nDurch dieses.\n	O Brauen, o Glosen!
§49\n\nDer tiefsten Tugend Gebaren,\nEs folgt allein dem *Wege*.\nDer *Weg* als ein Wesen\nIst ein Brauen, ein Glosen.\nO Glosen, o Brauen!\nDarin sind die Bilder.\nO Brauen, o Glosen!\n_\nO Dunkel, versunken!\nDarin sind die Samen.\nDie Samen sind Wahrheit;\nDarin ist die Treulichkeit.\nVon alters bis heute\nWard sein Name nicht aufgehoben,\nUm damit den Vater von allen Dingen zu deuten.\nUnd woher kenn Ich das Walten\nDes Vaters von allen Dingen?\nDurch dieses.\n	Darin sind die Wesen.
§49\n\nDer tiefsten Tugend Gebaren,\nEs folgt allein dem *Wege*.\nDer *Weg* als ein Wesen\nIst ein Brauen, ein Glosen.\nO Glosen, o Brauen!\nDarin sind die Bilder.\nO Brauen, o Glosen!\nDarin sind die Wesen.\n_\nDarin sind die Samen.\nDie Samen sind Wahrheit;\nDarin ist die Treulichkeit.\nVon alters bis heute\nWard sein Name nicht aufgehoben,\nUm damit den Vater von allen Dingen zu deuten.\nUnd woher kenn Ich das Walten\nDes Vaters von allen Dingen?\nDurch dieses.\n	O Dunkel, versunken!
§49\n\nDer tiefsten Tugend Gebaren,\nEs folgt allein dem *Wege*.\nDer *Weg* als ein Wesen\nIst ein Brauen, ein Glosen.\nO Glosen, o Brauen!\nDarin sind die Bilder.\nO Brauen, o Glosen!\nDarin sind die Wesen.\nO Dunkel, versunken!\n_\nDie Samen sind Wahrheit;\nDarin ist die Treulichkeit.\nVon alters bis heute\nWard sein Name nicht aufgehoben,\nUm damit den Vater von allen Dingen zu deuten.\nUnd woher kenn Ich das Walten\nDes Vaters von allen Dingen?\nDurch dieses.\n	Darin sind die Samen.
§49\n\nDer tiefsten Tugend Gebaren,\nEs folgt allein dem *Wege*.\nDer *Weg* als ein Wesen\nIst ein Brauen, ein Glosen.\nO Glosen, o Brauen!\nDarin sind die Bilder.\nO Brauen, o Glosen!\nDarin sind die Wesen.\nO Dunkel, versunken!\nDarin sind die Samen.\n_\nDarin ist die Treulichkeit.\nVon alters bis heute\nWard sein Name nicht aufgehoben,\nUm damit den Vater von allen Dingen zu deuten.\nUnd woher kenn Ich das Walten\nDes Vaters von allen Dingen?\nDurch dieses.\n	Die Samen sind Wahrheit;
